"word" "instances" "U.S" "Eng" "Eur" "Row"
"1" "white" "14" -0.0138204071225481 0 0 0
"2" "christmas" "10" -0.0216042674502296 -0.017237216450566 0 -0.059691196456742
"3" "rock" "38" -0.0170619388261682 -0.0128343173986753 -0.00804709870162438 0.0244175937687944
"4" "around" "30" -0.0032803952739341 0 0 0.00209593736532989
"5" "the" "707" -0.000234820225412137 0 0 0
"6" "clock" "2" 0 0 0.000894353111282067 0
"7" "nothing" "12" -0.000603680854761522 -0.000974577642882742 -0.000581251969317893 0
"8" "compares" "1" 0.00330743295676619 0.00279984615719005 0.0045627282033931 0.0032179226740272
"9" "X2" "16" 0 0 0 0
"10" "u" "20" -0.000373603948467224 -0.000293072663238006 -0.000220058537504052 -0.000238515593270027
"11" "my" "240" -0.00027773397391989 -0.000337704393187817 -0.000220399825816057 -0.000218119390626212
"12" "heart" "68" -0.000273776401789825 -0.000310470286711433 -0.000188158747518176 -0.000171551945078364
"13" "will" "31" -0.000378469523053753 -0.000270385119026817 -0.000173788220613873 5.61888986007087e-05
"14" "go" "57" -0.000172724820744145 -0.00012113435500795 -0.000167559939448615 0
"15" "on" "168" -0.000120127977705503 0 0 -0.000138053574226919
"16" "everything" "17" -9.4660075436343e-05 -0.000239553151470427 0 -0.000152468828609321
"17" "i" "358" -0.00019658053131519 -0.000102848530696142 4.88856996599859e-05 0
"18" "do" "79" -0.000101256041444569 -0.000103531878094146 -1.79732912458604e-05 0
"19" "it" "152" -0.000124215797058049 -9.74407647707927e-05 -7.31650367926786e-05 -7.93016365334508e-05
"20" "for." "86" -0.000133731943031388 -6.20376131289945e-05 1.98517778284548e-05 0
"21" "you" "491" -0.000113126578666458 -8.87418557239665e-05 -6.66333146539585e-05 -7.22220767096783e-05
"22" "hey" "26" -7.63935529894957e-05 -6.66789914275139e-05 -0.000107949598640923 -6.89628238483669e-05
"23" "jude" "1" 0.000730979617539303 0.000557330702623117 0.000300595976370473 0.000114273806048995
"24" "always" "16" -0.000140992598198358 -3.65244045308216e-05 3.09141893822046e-05 0
"25" "love" "350" -3.05480505533484e-05 -2.71003105831815e-05 -6.53740170358293e-05 0
"26" "another" "18" 2.33970081360014e-05 -8.55407944847711e-05 0 0
"27" "brick" "3" 1.1436689450005e-05 -4.39657417042388e-05 -9.00433865217008e-05 -6.80781577548456e-05
"28" "in." "235" -9.62238352351832e-05 -7.54825418067663e-05 -5.66773358305204e-05 -6.14310561812772e-05
"29" "wall" "2" -3.28785532296029e-05 -8.83302999591609e-05 0 0
"30" "part" "10" -0.000111427077906657 -4.26996509170444e-05 -7.1665611679049e-05 0
"31" "flashdance" "1" 0.000317411869579624 0.000284734582102413 0.000283391143178099 0.00028371057228269
"32" "what" "50" -7.70969955385474e-05 -4.17052998083183e-05 -9.19035450782209e-05 2.73561845044311e-05
"33" "a" "299" -9.72940474539215e-05 -7.39966826280927e-05 -2.826677362099e-05 9.76521578950761e-05
"34" "feeling" "9" -4.3784778208838e-05 -1.58134235619876e-05 -4.21077517011293e-05 0
"35" "candle" "1" 7.88741023410289e-07 1.04674942647463e-05 -4.51537414621399e-05 -4.54414646709679e-05
"36" "wind" "12" -4.08574065787642e-06 0 0 0
"37" "X97" "1" 0 0 0 0
"38" "gangsta.s" "1" 0.000149641005921922 0.000134074379964097 0.000303083262108455 2.14205572929e-05
"39" "paradise" "10" -3.43471576966197e-06 0 0 0
"40" "can.t" "50" 2.56645340895474e-05 -7.04909335729741e-05 -6.94813218256992e-05 0
"41" "get" "68" -4.8208173352678e-05 -6.79499026076623e-05 -6.97111683537273e-05 -4.61742581544641e-05
"42" "no" "55" -8.9865484005001e-05 -6.9920220076767e-06 -1.48720178121356e-05 0
