"","X","word","counts","aveScore"
"1",24,"the",6961,1.65261675352739
"2",143,"you",4714,1.63607858048162
"3",19,"i",3486,1.59286598107504
"4",39,"love",3154,1.74027626681935
"5",7,"a",3132,1.58718096049476
"6",13,"me",2895,1.51720139078266
"7",41,"of",2551,1.59356383763838
"8",147,"in.",2503,1.56548598304927
"9",98,"my",2461,1.55010993176649
"10",73,"to",2349,1.59086611785095
"11",2,"on",1466,1.60481329113924
"12",5,"it",1352,1.64395007597135
"13",27,"your",1055,1.66985395189003
"14",12,"for.",1040,1.58218830727396
"15",258,"be",975,1.72869016290727
"16",194,"is",967,1.65405202628697
"17",62,"don.t",943,1.93209725158562
"18",314,"all",860,1.66111406844106
"19",1,"i.m",829,1.43019191049914
"20",9,"do",742,1.65666983737343
"21",61,"baby",700,1.48090503597122
"22",255,"heart",684,1.62202350636631
"23",107,"time",661,1.47661162079511
"24",515,"little",660,1.41993343653251
"25",388,"with",649,1.70725593008739
"26",543,"blues",624,0.75838683788122
"27",35,"one",616,1.42821316783594
"28",355,"that",596,1.630536121673
"29",482,"when",571,1.42813356164384
"30",432,"it.s",570,1.7753504
"31",161,"night",533,1.64167071935157
"32",33,"no",531,1.6098756581612
"33",110,"song",521,1.65751724137931
"34",197,"man",515,1.56551394759087
"35",386,"what",506,1.73090740740741
"36",391,"girl",506,1.81883121019108
"37",6,"like",503,1.86315831663327
"38",52,"up",502,1.88598049414824
"39",20,"go",492,1.54850149365198
"40",15,"get",484,1.82783269961977
"41",311,"down",479,1.48998694029851
"42",83,"home",439,1.04362091503268
"43",111,"so",434,1.49064009918526
"44",11,"good",429,1.56694753577107
"45",76,"got",426,1.57290822179732
"46",617,"you.re",422,1.54028758169935
"47",237,"just",421,1.70635764705882
"48",104,"world",416,1.65648009367681
"49",383,"come",413,1.4136387434555
"50",92,"want",412,1.9671220043573
"51",219,"can.t",411,1.80021882352941
"52",87,"if.",409,1.79321895973154
"53",444,"old",406,1.34607736720554
"54",17,"this",405,1.7927037037037
"55",381,"back",404,1.71621779859485
"56",182,"way",400,1.64805051449953
"57",105,"day",399,1.5358953722334
"58",31,"never",393,1.66918796992481
"59",479,"out",386,1.55575847457627
"60",363,"blue",385,1.04000868725869
"61",403,"again",383,1.69132658227848
"62",301,"are",362,1.67939295774648
"63",599,"la",360,1.52934963579605
"64",384,"over",354,1.65128419182948
"65",281,"from",352,1.5710113960114
"66",23,"let",351,1.70357364341085
"67",257,"i.ll",345,1.49483190883191
"68",385,"know",345,1.71944757033248
"69",101,"life",339,1.8835
"70",426,"have",329,1.72054518950437
"71",274,"take",323,1.6646976744186
"72",180,"can",321,1.69978887744593
"73",210,"we",321,1.6340125
"74",492,"now",320,1.70609486166008
"75",106,"at",319,1.57577943925234
"76",455,"long",313,1.46921768707483
"77",1004,"sweet",312,1.41111479028698
"78",133,"by",309,1.4876132218845
"79",397,"more",291,1.52998143236074
"80",171,"away",288,1.38575623268698
"81",406,"eyes",277,1.67650541516245
"82",90,"how",274,1.65574104683196
"83",247,"will",274,1.82935906040268
"84",657,"oh",267,1.46970117647059
"85",259,"there",266,1.61426117647059
"86",399,"rock",266,2.09402099737533
"87",766,"tonight",266,1.77792164179104
"88",121,"too",252,1.43655666666667
"89",427,"dream",251,1.39707663551402
"90",164,"woman",249,1.97317509727626
"91",260,"only",245,1.73413114754098
"92",667,"moon",242,1.23413535911602
"93",191,"not",240,1.68481358885017
"94",48,"dance",234,2.0514328358209
"95",295,"say",234,1.99884108527132
"96",140,"why",232,1.16336206896552
"97",639,"boy",232,1.70720994475138
"98",655,"make",231,1.69034843205575
"99",243,"new",230,1.30214915254237
"100",1521,"de",227,1.46980690112807
"101",55,"ain.t",224,1.62469314079422
"102",42,"heaven",220,1.50851028806584
"103",387,"tell",220,1.37294615384615
"104",608,"gonna",218,1.72380555555556
"105",18,"here",214,1.56949582463466
"106",93,"around",213,2.00241148325359
"107",261,"where",212,1.56773006134969
"108",317,"last",208,1.49645217391304
"109",136,"kiss",207,1.9295320754717
"110",63,"cry",203,1.69886379928315
"111",37,"rain",197,1.71767281105991
"112",554,"as",197,1.42842145421903
"113",46,"thing",195,1.77718266666667
"114",462,"that.s",193,1.47969264069264
"115",153,"stop",192,1.68172906403941
"116",461,"music",190,1.59873655913978
"117",516,"lady",190,1.81972959183673
"118",256,"give",188,1.83394666666667
"119",676,"see",186,1.60869841269841
"120",712,"right",185,1.72464179104478
"121",1129,"o",185,1.59491811872636
"122",82,"happy",184,1.44183695652174
"123",337,"i.ve",183,1.65478728070175
"124",568,"let.s",179,1.95449714285714
"125",656,"believe",179,1.87545226130653
"126",500,"was",176,1.31734156378601
"127",142,"need",175,1.54021917808219
"128",377,"but",169,1.34341532258065
"129",1107,"gone",169,1.23941666666667
