"word" "instances"
"1" "white" "14"
"2" "christmas" "10"
"3" "rock" "38"
"4" "around" "30"
"5" "the" "707"
"6" "clock" "2"
"7" "nothing" "12"
"8" "compares" "1"
"9" "X2" "16"
"10" "u" "20"
"11" "my" "240"
"12" "heart" "68"
"13" "will" "31"
"14" "go" "57"
"15" "on" "168"
"16" "everything" "17"
"17" "i" "358"
"18" "do" "79"
"19" "it" "152"
"20" "for." "86"
"21" "you" "491"
"22" "hey" "26"
"23" "jude" "1"
"24" "always" "16"
"25" "love" "350"
"26" "another" "18"
"27" "brick" "3"
"28" "in." "235"
"29" "wall" "2"
"30" "part" "10"
"31" "flashdance" "1"
"32" "what" "50"
"33" "a" "299"
"34" "feeling" "9"
"35" "candle" "1"
"36" "wind" "12"
"37" "X97" "1"
"38" "gangsta.s" "1"
"39" "paradise" "10"
"40" "can.t" "50"
"41" "get" "68"
"42" "no" "55"
"43" "satisfaction" "1"
"44" "lose" "7"
"45" "yourself" "5"
"46" "yeah" "2"
"47" "believe" "18"
"48" "stayin" "2"
"49" "alive" "6"
"50" "every" "11"
"51" "breath" "3"
"52" "take" "34"
"53" "let" "38"
"54" "be" "124"
"55" "whiter" "1"
"56" "shade" "2"
"57" "of" "264"
"58" "pale" "1"
"59" "bette" "1"
"60" "davis" "1"
"61" "eyes" "34"
"62" "bleeding" "1"
"63" "umbrella" "1"
"64" "mack" "4"
"65" "knife" "3"
"66" "i.ll" "31"
"67" "missing" "4"
"68" "billie" "2"
"69" "jean" "3"
"70" "want" "53"
"71" "to" "245"
"72" "hold" "20"
"73" "your" "124"
"74" "hand" "10"
"75" "sweet" "28"
"76" "lord" "4"
"77" "dancing" "12"
"78" "queen" "7"
"79" "baby" "67"
"80" "one" "54"
"81" "more" "34"
"82" "time" "61"
"83" "you.re" "41"
"84" "that" "61"
"85" "we" "46"
"86" "are" "46"
"87" "world" "40"
"88" "mmmbop" "1"
"89" "vogue" "1"
"90" "macarena" "1"
"91" "wannabe" "1"
"92" "oh" "22"
"93" "pretty" "4"
"94" "woman" "35"
"95" "without" "22"
"96" "me" "316"
"97" "eye" "3"
"98" "tiger" "3"
"99" "lonesome" "2"
"100" "tonight" "32"
"101" "ymca" "1"
"102" "just" "44"
"103" "called" "4"
"104" "say" "31"
"105" "careless" "2"
"106" "whisper" "1"
"107" "imagine" "1"
"108" "help" "10"
"109" "falling" "8"
"110" "ya" "7"
"111" "bohemian" "2"
"112" "rhapsody" "3"
"113" "kissed" "3"
"114" "girl" "53"
"115" "over" "37"
"116" "rainbow" "2"
"117" "it.s" "69"
"118" "now" "42"
"119" "or" "16"
"120" "never" "41"
"121" "don.t" "126"
"122" "speak" "2"
"123" "hips" "1"
"124" "lie" "7"
"125" "da" "13"
"126" "club" "3"
"127" "out" "34"
"128" "head" "11"
"129" "where" "24"
"130" "is" "102"
"131" "sign" "4"
"132" "angie" "2"
"133" "summertime" "6"
"134" "ghost" "2"
"135" "riders" "2"
"136" "sky" "7"
"137" "poker" "1"
"138" "face" "8"
"139" "n" "14"
"140" "roll" "15"
"141" "kung" "1"
"142" "fu" "2"
"143" "fighting" "2"
"144" "sexyback" "1"
"145" "hung" "1"
"146" "up" "75"
"147" "i.m" "71"
"148" "believer" "3"
"149" "found" "7"
"150" "jailhouse" "1"
"151" "livin" "4"
"152" "la" "36"
"153" "vida" "3"
"154" "loca" "1"
"155" "twist" "7"
"156" "swear" "2"
"157" "whenever" "3"
"158" "wherever" "2"
"159" "low" "6"
"160" "strangers" "1"
"161" "night" "58"
"162" "end" "9"
"163" "road" "9"
"164" "streets" "2"
"165" "philadelphia" "3"
"166" "unchained" "4"
"167" "melody" "9"
"168" "tie" "2"
"169" "yellow" "11"
"170" "ribbon" "1"
"171" "round" "10"
"172" "old" "13"
"173" "oak" "2"
"174" "tree" "5"
"175" "mood" "4"
"176" "mambo" "3"
"177" "X5" "3"
"178" "little" "60"
"179" "bit" "11"
"180" "que" "2"
"181" "sera" "3"
"182" "whatever" "3"
"183" "mona" "2"
"184" "lisa" "2"
"185" "seasons" "3"
"186" "sun" "17"
"187" "karma" "4"
"188" "chameleon" "1"
"189" "dilemma" "1"
"190" "miss" "13"
"191" "thing" "24"
"192" "glass" "4"
"193" "killing" "2"
"194" "softly" "5"
"195" "with" "68"
"196" "his" "8"
"197" "song" "50"
"198" "gotta" "10"
"199" "big" "16"
"200" "girls" "19"
"201" "cry" "22"
"202" "boy" "28"
"203" "mine" "13"
"204" "venus" "3"
"205" "hotel" "4"
"206" "california" "9"
"207" "swinging" "1"
"208" "star" "14"
"209" "all" "96"
"210" "need" "15"
"211" "like" "65"
"212" "starting" "1"
"213" "smooth" "4"
"214" "she" "17"
"215" "loves" "9"
"216" "fever" "3"
"217" "how" "28"
"218" "remind" "2"
"219" "crazy" "14"
"220" "upside" "2"
"221" "down" "44"
"222" "really" "6"
"223" "hurt" "7"
"224" "prayer" "7"
"225" "beautiful" "19"
"226" "when" "47"
"227" "doves" "1"
"228" "sugar" "7"
"229" "yesterday" "7"
"230" "cha" "1"
"231" "apologize" "2"
"232" "music" "22"
"233" "lady" "25"
"234" "marmalade" "2"
"235" "voulez" "2"
"236" "vous" "2"
"237" "coucher" "2"
"238" "aver" "2"
"239" "moi" "5"
"240" "ce" "2"
"241" "soir" "2"
"242" "ketchup" "1"
"243" "asereje" "1"
"244" "back" "47"
"245" "party" "12"
"246" "anthem" "1"
"247" "informer" "1"
"248" "call" "12"
"249" "things" "12"
"250" "said" "8"
"251" "le" "1"
"252" "freak" "5"
"253" "theme" "24"
"254" "from" "37"
"255" "summer" "13"
"256" "place" "7"
"257" "good" "42"
"258" "hello" "9"
"259" "goodbye" "16"
"260" "if." "50"
"261" "leave" "13"
"262" "barbie" "1"
"263" "day" "36"
"264" "ebony" "1"
"265" "ivory" "1"
"266" "wanna" "27"
"267" "dance" "25"
"268" "somebody" "16"
"269" "who" "9"
"270" "breaking" "2"
"271" "wants" "8"
"272" "rivers" "1"
"273" "babylon" "1"
"274" "black" "22"
"275" "bridge" "3"
"276" "troubled" "1"
"277" "water" "6"
"278" "scrubs" "1"
"279" "these" "10"
"280" "boots" "1"
"281" "made" "10"
"282" "walking" "7"
"283" "stop" "27"
"284" "loving" "11"
"285" "i.d" "7"
"286" "anything" "4"
"287" "but" "8"
"288" "won.t" "6"
"289" "let.s" "21"
"290" "again" "43"
"291" "american" "8"
"292" "pie" "3"
"293" "stand" "11"
"294" "by" "31"
"295" "so" "34"
"296" "blue" "29"
"297" "ba" "5"
"298" "dee" "4"
"299" "downtown" "2"
"300" "beat" "11"
"301" "gonna" "26"
"302" "give" "28"
"303" "i.ve" "14"
"304" "been" "13"
"305" "thinking" "2"
"306" "about" "17"
"307" "tom" "2"
"308" "dooley" "1"
"309" "fence" "1"
"310" "away" "21"
"311" "irreplaceable" "1"
"312" "smells" "1"
"313" "teen" "2"
"314" "spirit" "3"
"315" "buttons" "2"
"316" "bows" "1"
"317" "rolling" "3"
"318" "deep" "9"
"319" "girlfriend" "2"
"320" "make" "28"
"321" "used" "3"
"322" "know" "42"
"323" "physical" "1"
"324" "survive" "1"
"325" "waterloo" "3"
"326" "vaya" "1"
"327" "con" "2"
"328" "dios" "1"
"329" "may" "4"
"330" "god" "8"
"331" "ice" "3"
"332" "third" "1"
"333" "man" "47"
"334" "that.s" "15"
"335" "friends" "4"
"336" "fernando" "2"
"337" "can" "33"
"338" "fly" "14"
"339" "complicated" "1"
"340" "penny" "1"
"341" "lane" "4"
"342" "way" "49"
"343" "secret" "5"
"344" "four" "2"
"345" "minutes" "2"
"346" "have" "40"
"347" "ever" "13"
"348" "loved" "11"
"349" "touch" "14"
"350" "this" "51"
"351" "stars" "7"
"352" "X45" "2"
"353" "funkytown" "2"
"354" "too" "23"
"355" "young" "18"
"356" "because" "11"
"357" "amadeus" "1"
"358" "grenade" "1"
"359" "vibrations" "2"
"360" "lights" "7"
"361" "went" "4"
"362" "massachusetts" "1"
"363" "un" "2"
"364" "break." "7"
"365" "house" "10"
"366" "rising" "3"
"367" "toxic" "1"
"368" "fun" "4"
"369" "started" "7"
"370" "sixteen" "8"
"371" "tons" "1"
"372" "those" "3"
"373" "were" "11"
"374" "days" "12"
"375" "feel" "23"
"376" "fine" "4"
"377" "belong" "7"
"378" "paperback" "1"
"379" "writer" "1"
"380" "beg" "3"
"381" "pardon" "1"
"382" "promised" "2"
"383" "rose" "13"
"384" "garden" "4"
"385" "what.s" "13"
"386" "got" "52"
"387" "they" "11"
"388" "honky" "2"
"389" "tonk" "2"
"390" "truly" "4"
"391" "madly" "1"
"392" "deeply" "2"
"393" "endless" "3"
"394" "abracadabra" "1"
"395" "hot" "11"
"396" "cold" "8"
"397" "waterfalls" "1"
"398" "vain" "2"
"399" "must" "11"
"400" "tragedy" "1"
"401" "hard" "12"
"402" "day.s" "1"
"403" "bamba" "2"
"404" "mister" "4"
"405" "sandman" "3"
"406" "maggie" "1"
"407" "groovy" "2"
"408" "kind" "5"
"409" "year" "5"
"410" "X2525" "1"
"411" "exordium" "1"
"412" "terminus" "1"
"413" "fantasy" "2"
"414" "faith" "4"
"415" "heartbreak" "2"
"416" "liar" "1"
"417" "suspicious" "1"
"418" "minds" "1"
"419" "crocodile" "1"
"420" "papa" "7"
"421" "preach" "1"
"422" "shut" "2"
"423" "tears" "10"
"424" "heaven" "23"
"425" "men" "4"
"426" "bring" "6"
"427" "life" "49"
"428" "lonely" "17"
"429" "not" "23"
"430" "alone" "17"
"431" "genie" "1"
"432" "bottle" "4"
"433" "together" "17"
"434" "paper" "3"
"435" "doll" "5"
"436" "worry" "1"
"437" "happy" "17"
"438" "maybe" "2"
"439" "fallin" "4"
"440" "f" "7"
"441" "k" "2"
"442" "stuff" "3"
"443" "boombastic" "1"
"444" "tennessee" "4"
"445" "waltz" "8"
"446" "relax" "2"
"447" "centrefold" "1"
"448" "bad" "22"
"449" "romance" "1"
"450" "bites" "2"
"451" "dust" "3"
"452" "hound" "1"
"453" "dog" "6"
"454" "frozen" "1"
"455" "tubthumping" "1"
"456" "blueberry" "2"
"457" "hill" "7"
"458" "less" "2"
"459" "conversation" "1"
"460" "volare" "3"
"461" "west" "5"
"462" "walk" "21"
"463" "an" "16"
"464" "egyptian" "1"
"465" "goes" "10"
"466" "promiscuous" "1"
"467" "born" "11"
"468" "mr" "15"
"469" "kiss" "29"
"470" "please" "13"
"471" "forgive" "1"
"472" "speedy" "1"
"473" "gonzales" "1"
"474" "shout" "4"
"475" "total" "2"
"476" "eclipse" "2"
"477" "wake" "8"
"478" "before" "7"
"479" "sh" "2"
"480" "boom" "16"
"481" "could" "12"
"482" "dream" "25"
"483" "boulevard" "1"
"484" "broken" "9"
"485" "dreams" "13"
"486" "submarine" "1"
"487" "had" "7"
"488" "blaze" "1"
"489" "glory" "5"
"490" "stan" "2"
"491" "smoke" "6"
"492" "gets" "4"
"493" "sounds" "4"
"494" "silence" "3"
"495" "under" "7"
"496" "long" "21"
"497" "cotton" "1"
"498" "joe" "5"
"499" "jumpin" "3"
"500" "jack" "6"
"501" "flash" "2"
"502" "red" "18"
"503" "wine" "3"
"504" "tainted" "2"
"505" "fight" "4"
"506" "moonlight" "6"
"507" "wasn.t" "2"
"508" "put" "5"
"509" "nickel" "1"
"510" "come" "35"
"511" "eileen" "1"
"512" "marina" "1"
"513" "sexy" "10"
"514" "chick" "2"
"515" "bitch" "4"
"516" "oops" "2"
"517" "did" "5"
"518" "moves" "2"
"519" "jagger" "1"
"520" "bye" "13"
"521" "flag" "2"
"522" "sentimental" "3"
"523" "journey" "1"
"524" "tambourine" "2"
"525" "baker" "2"
"526" "street" "9"
"527" "floor" "2"
"528" "pow" "1"
"529" "gold" "4"
"530" "digger" "1"
"531" "shook" "2"
"532" "sharona" "1"
"533" "ticket" "2"
"534" "ride" "5"
"535" "torn" "2"
"536" "losing" "3"
"537" "religion" "1"
"538" "san" "5"
"539" "francisco" "2"
"540" "wear" "4"
"541" "some" "11"
"542" "flowers" "3"
"543" "hair" "4"
"544" "rum" "1"
"545" "coca" "1"
"546" "cola" "1"
"547" "still" "12"
"548" "haven.t" "2"
"549" "looking" "4"
"550" "joyride" "1"
"551" "children" "4"
"552" "iris" "1"
"553" "angel" "21"
"554" "right" "27"
"555" "sittin" "3"
"556" "dock" "1"
"557" "bay" "2"
"558" "wooly" "1"
"559" "bully" "1"
"560" "cruel" "4"
"561" "jump" "7"
"562" "sos" "2"
"563" "ms" "1"
"564" "jackson" "2"
"565" "heartache" "2"
"566" "paint" "1"
"567" "cathy.s" "1"
"568" "clown" "3"
"569" "gurls" "1"
"570" "much" "11"
"571" "you.ll" "8"
"572" "daydream" "2"
"573" "nothing.s" "2"
"574" "us" "21"
"575" "battle" "1"
"576" "new" "20"
"577" "orleans" "5"
"578" "against" "5"
"579" "odds" "2"
"580" "look" "16"
"581" "at" "25"
"582" "scatman" "1"
"583" "ski" "1"
"584" "bop" "5"
"585" "dop" "1"
"586" "phunk" "1"
"587" "X99" "1"
"588" "balloons" "1"
"589" "surrender" "2"
"590" "tik" "1"
"591" "toc" "1"
"592" "rudolph" "2"
"593" "nosed" "2"
"594" "reindeer" "2"
"595" "wonderwall" "1"
"596" "telstar" "1"
"597" "firework" "1"
"598" "only" "28"
"599" "desire" "2"
"600" "stronger" "3"
"601" "devil" "6"
"602" "disguise" "3"
"603" "you.ve" "7"
"604" "lost" "6"
"605" "lovin" "11"
"606" "feelin" "1"
"607" "scream" "2"
"608" "return" "4"
"609" "sender" "1"
"610" "most" "4"
"611" "unforgettable" "2"
"612" "ma" "3"
"613" "mull" "1"
"614" "kintyre" "1"
"615" "guy" "6"
"616" "virgin" "1"
"617" "monday" "6"
"618" "that.ll" "1"
"619" "hollaback" "1"
"620" "bow" "2"
"621" "runaway" "3"
"622" "diana" "2"
"623" "great" "2"
"624" "balls" "1"
"625" "fire" "22"
"626" "child" "9"
"627" "o" "8"
"628" "then" "3"
"629" "there.s" "6"
"630" "fool" "8"
"631" "such" "3"
"632" "as" "15"
"633" "aquarius" "1"
"634" "sunshine" "12"
"635" "ring" "10"
"636" "bell" "5"
"637" "think" "11"
"638" "dynamite" "1"
"639" "am" "12"
"640" "yours" "3"
"641" "sadeness" "1"
"642" "rhythm" "9"
"643" "dancer" "4"
"644" "pop" "3"
"645" "muzik" "1"
"646" "ironic" "1"
"647" "hero" "7"
"648" "ballroom" "1"
"649" "blitz" "1"
"650" "air" "4"
"651" "five" "7"
"652" "thousand" "1"
"653" "miles" "5"
"654" "swanee" "1"
"655" "here" "21"
"656" "sledgehammer" "1"
"657" "someone" "7"
"658" "goodnight" "5"
"659" "irene" "3"
"660" "words" "6"
"661" "fame" "3"
"662" "crimson" "1"
